# Extracted from https://github.com/banacorn/agda-mode-vscode
# https://raw.githubusercontent.com/banacorn/agda-mode-vscode/refs/heads/master/asset/keymap.js
# TODO: create mappings by myself

0 ∅
8< ✂
8< ✄
!! ‼
! ！
! ¡
!? ⁉
!` ¡
"' “
"< «
"> »
" ＂
" ̈
"A Ä
"E Ë
"H Ḧ
"I Ï
"O Ö
"U Ü
"W Ẅ
"X Ẍ
"Y Ÿ
"` „
"a ä
"e ë
"h ḧ
"i ï
"o ö
"t ẗ
"u ü
"w ẅ
"x ẍ
"y ÿ
"{A} Ä
"{E} Ë
"{I} Ï
"{O} Ö
"{U} Ü
"{Y} Ÿ
"{\i} ï
"{a} ä
"{e} ë
"{o} ö
"{u} ü
"{y} ÿ
"{} ¨
# ♯
# ＃
% ％
& ⅋
& ＆
' ′
' ″
' ‴
' ⁗
' ＇
' ́
'A Á
'C Ć
'E É
'G Ǵ
'I Í
'K Ḱ
'L Ĺ
'M Ḿ
'N Ń
'O Ó
'P Ṕ
'R Ŕ
'S Ś
'U Ú
'W Ẃ
'Y Ý
'Z Ź
'\AE Ǽ
'\O Ǿ
'\ae ǽ
'\o ǿ
'a á
'c ć
'e é
'g ǵ
'i í
'k ḱ
'l ĺ
'm ḿ
'n ń
'o ó
'p ṕ
'r ŕ
's ś
'u ú
'w ẃ
'y ý
'z ź
'{A} Á
'{C} Ć
'{E} É
'{G} Ǵ
'{I} Í
'{L} Ĺ
'{N} Ń
'{O} Ó
'{R} Ŕ
'{S} Ś
'{U} Ú
'{Y} Ý
'{Z} Ź
'{\AE} Ǽ
'{\O} Ǿ
'{\ae} ǽ
'{\i} í
'{\o} ǿ
'{a} á
'{c} ć
'{e} é
'{g} ǵ
'{l} ĺ
'{n} ń
'{o} ó
'{r} ŕ
'{s} ś
'{u} ú
'{y} ý
'{z} ź
'{} ´
(0) ⓪
(0) 🄀
(0) ⓿
(0) 🄋
(0) 🄌
(10) ⑽
(10) ⑩
(10) ⒑
(10) ❿
(10) ➉
(10) ➓
(11) ⑾
(11) ⑪
(11) ⒒
(11) ⓫
(12) ⑿
(12) ⑫
(12) ⒓
(12) ⓬
(13) ⒀
(13) ⑬
(13) ⒔
(13) ⓭
(14) ⒁
(14) ⑭
(14) ⒕
(14) ⓮
(15) ⒂
(15) ⑮
(15) ⒖
(15) ⓯
(16) ⒃
(16) ⑯
(16) ⒗
(16) ⓰
(17) ⒄
(17) ⑰
(17) ⒘
(17) ⓱
(18) ⒅
(18) ⑱
(18) ⒙
(18) ⓲
(19) ⒆
(19) ⑲
(19) ⒚
(19) ⓳
(1) ⑴
(1) ①
(1) ⒈
(1) ❶
(1) ➀
(1) ➊
(20) ⒇
(20) ⑳
(20) ⒛
(20) ⓴
(2) ⑵
(2) ②
(2) ⒉
(2) ❷
(2) ➁
(2) ➋
(3) ⑶
(3) ③
(3) ⒊
(3) ❸
(3) ➂
(3) ➌
(4) ⑷
(4) ④
(4) ⒋
(4) ❹
(4) ➃
(4) ➍
(5) ⑸
